NO MATERIAL ASSIGNED
SEWER CONCRETE PIPE
SEWER CONCRETE W/MASTIC PIPE
PRESTRESSED CONCRETE PIPE
SEWER ABS PIPE SDR-35
PVC TRUSS PIPE
VITRIFIED CLAY PIPE
CAST IRON
PLEXCO HDPE PIPE
SEWER PVC SDR (DO NOT USE)
PVC RIBBED(DO NOT USE)
PVC C900 W/L (DO NOT USE)
CEMENT ASBESTOS
WATER STEEL  PIPE
D.I. CL52 (DO NOT USE)
D. I. CL51(DO NOT USE)
COPPER SERVICE PIPE
WATER PVC SERVICE PIPE
MANHOLE PRECAST CONCRETE
MANHOLE STANDARD TOP
MANHOLE T-LOCK
MANHOLE WATERTIGHT TOP
NEPTUNE TRIDENT T-10
BADGER RECORDALL MODEL 25
A BADGER ER
NEPTUNE TRIDENT T-8
KENT
BADGER SC
NEPTUNE T-8
HERSEY MHD
HERSEY MMD
ROCKWELL
HERSEY
BADGER
ROCKWELL MODEL SR
ROCKWELL MODEL SR II
GATE VALVE DOUBLE DISC
GATE VALVE RESILIENT SEATED
BUTTERFLY VALVE
GATE VALVE SWING OR CHECK VALVE
PLUG VALVE - ECCENTRIC
FIRE HYDRANT MODEL H-200
FIRE HYDRANT MEDALLION
FIRE HYDRANT CENTURIAN
FIRE HYDRANT929 RELIANT
FIRE HYDRANT METROPOLITAN 250 
FIRE HYDRANT MARK 73
FIRE HYDRANT K-81A
FIRE HYDRANT K-81D
AIR/VAC VALVE
AIR/VAC VALVE 5401-E
AIR/VAC VALVE 5402-A 
FIRE HYDRANT CENTURIAN A-421
WATER PIPE D.I. CLASS 51
WATER PIPE D.I. CLASS 52
WATER PIPE D.I. CLASS 53
WATER PIPE D.I. CLASS 54
WATER PIPE PVC C900
WATER PIPE PVC C900 ULTRA BLUE
WATER PIPE PVC C909
SEWER PIPE D.I. CLASS 51
SEWER PIPE D.I. CLASS 52
SEWER PIPE D.I. CLASS 53
SEWER PIPE D.I. CLASS 54
R.C.P. CLASS III WALL B
R.C.P. CLASS III WALL C
R.C.P. CLASS IV WALL B
R.C.P. CLASS IV WALL C
R.C.P. CLASS V WALL B
R.C.P. CLASS V WALL C
HIGH-DENSITY POLYETHYLENE SPIROLITE
SEWER PIPE PVC C900 FM
SEWER PIPE PVC C905 FM
SEWER PIPE PVC T-1
PVC ULTRA-RIB
PVC CARLON-PS46
SEWER PIPE PVC SDR 26
SEWER PIPE PVC SDR 35
PVC PERMA-LOC
SLIPLINING CONCRETE
SLIPLINING A/C
SLIPLINING PVC
SLIPLINING ABS TRUSS
PIPE SCHEDULE 40
PIPE SCHEDULE 80
PVC PIPE SCH. 40
HDPE PIPE SCH. 80
DUCTILE IRON CLASS 51
DUCTILE IRON CLASS 52
DUCTILE IRON CLASS 53
DUCTILE IRON CLASS 54
CAST IRON
CONCRETE
REINFORCED CONCRETE
PVC
CEMENT ASBESTOS
VITRIFIED CLAY
HDPE
ABS
BRICK
CORRUGATED METAL (CMP)
POLYETHYLENE (PE)
STEEL
COPPER
